Date,NO1,NO2,NO3,NO4,NO5,NO,SE,FI,DK,Nordic,EE,LV,LT,Baltic
01/01/2013,119466,102585,61390,56148,49597,389179,381608,239611,85176,,21571,,22593,
02/01/2013,139831,114056,67395,58502,52784,432566,429290,260726,100791,,24961,,28088,
03/01/2013,142882,109892,66199,58212,51702,428884,444913,262334,105601,,26167,,29061,
04/01/2013,135779,106855,66334,59715,49704,418382,434016,266540,103945,,26150,,28845,
05/01/2013,128358,104190,62596,56538,48365,400043,423684,258872,90363,,24025,,26428,
06/01/2013,124906,103644,61702,54840,48420,393507,418669,257826,89470,,23966,,25853,
07/01/2013,139227,113176,66734,57808,51664,428604,474357,283489,105895,,27228,,30425,
08/01/2013,139603,112128,66552,59887,52519,430687,465151,274124,107135,,27881,,31139,
09/01/2013,143574,114442,69348,59830,53343,440532,469430,269161,107439,,28053,,30821,
10/01/2013,147268,116421,73189,60698,55370,452936,493415,273455,111300,,28150,,31166,
11/01/2013,153130,122068,76531,60765,58064,470552,502319,286615,109155,,28733,,30971,
12/01/2013,154084,121316,75151,57240,57301,465086,480424,277190,97694,,26951,,28000,
13/01/2013,159429,120812,74864,56278,57448,468825,479742,265236,95174,,26700,,28558,
14/01/2013,178362,130487,79683,59101,60738,508369,533912,277033,113128,,28555,,33077,
15/01/2013,177172,131060,80730,61395,62561,512914,527786,282566,114501,,29221,,32677,
16/01/2013,177782,133680,80839,62375,61402,516077,537610,289170,118036,,29461,,32039,
17/01/2013,171898,132089,81082,62011,60755,507832,531689,299227,117115,,29530,,32159,
18/01/2013,171353,130335,81307,58969,61466,503428,537124,313362,114390,,30169,,32173,
19/01/2013,165839,127121,77095,56066,59896,486010,517577,286296,101887,,28606,,29400,
20/01/2013,151926,124472,73376,58174,58441,466388,490302,264378,100386,,27578,,28596,
21/01/2013,170562,131529,80149,61896,59297,503428,537190,284667,114966,,29812,,33430,
22/01/2013,172509,141165,87725,57784,58697,517867,556799,277890,116555,,29863,,33810,
23/01/2013,183001,138962,81759,61927,60434,526078,568352,281634,116223,,29353,,33315,
24/01/2013,176823,137810,80518,62838,59982,517967,569377,290327,115727,,29307,,33246,
25/01/2013,178701,133646,79696,62786,57205,512027,565118,290734,114603,,29540,,33057,
26/01/2013,159354,122576,73251,58213,54790,468173,485394,262460,103058,,26546,,29399,
27/01/2013,149355,115142,71114,55348,51518,442469,475651,252855,99180,,26285,,28292,
28/01/2013,148581,116371,72633,60417,52759,450756,483502,278578,109106,,29278,,32593,
29/01/2013,143859,115049,72436,59159,51870,442375,474387,262941,110610,,28572,,32445,
30/01/2013,135373,113641,70713,58434,53434,431588,466645,259574,110378,,28326,,31341,
31/01/2013,134683,113373,69792,57505,53032,428381,461879,259318,111262,,27127,,30133,
01/02/2013,151045,120208,73157,56997,54216,455618,478007,265880,107309,,26740,,29698,
02/02/2013,146696,115671,68219,53209,51982,435773,451605,255100,93695,,24711,,27100,
03/02/2013,143355,114007,67244,53922,50558,429075,454673,247298,95491,,23860,,25978,
04/02/2013,151376,119513,72892,58838,53129,455746,480605,268497,109724,,26889,,29795,
05/02/2013,152096,119205,72859,56513,52104,452771,480029,270241,109838,,27107,,29593,
06/02/2013,146560,120041,72999,58737,53417,451743,484048,277867,110901,,26385,,29597,
07/02/2013,149529,122430,76601,59953,55286,463794,494145,279256,111747,,26282,,30451,
08/02/2013,156239,125497,79369,58765,56622,476490,495532,282853,108889,,26506,,29726,
09/02/2013,152322,121991,77767,55716,54509,462310,472751,260608,96982,,23657,,26469,
10/02/2013,148491,118168,76849,55128,54847,453470,467549,245674,95607,,22923,,25604,
11/02/2013,162946,127248,78937,57953,57934,485023,509358,263733,110260,,25982,,29441,
12/02/2013,159736,127927,77557,58080,59092,482386,512180,265952,111927,,26037,,29943,
13/02/2013,151899,128072,76824,56927,59267,472849,508942,260859,111427,,26095,,29533,
14/02/2013,152833,124915,75988,56670,58363,468769,491175,259480,110160,,25967,,29722,
15/02/2013,148468,121267,74217,56005,55031,454981,473038,263280,106488,,26113,,29276,
16/02/2013,134181,113736,69569,53557,52313,423346,430750,244041,94122,,24178,,25958,
17/02/2013,129201,109596,66707,52362,52239,410102,432028,238125,91795,,23817,,25517,
18/02/2013,138879,114861,70475,55354,53052,432616,478233,258855,107316,,26760,,29813,
19/02/2013,141508,116222,72214,58409,53157,441506,488326,261239,109301,,27523,,30061,
20/02/2013,151676,120972,74004,59395,54375,460412,501752,267302,110848,,27932,,30048,
21/02/2013,162140,124979,72961,58414,55722,474210,508056,274405,110511,,27969,,30516,
22/02/2013,155092,123931,71736,57539,54150,462443,497726,270178,107015,,27735,,30109,
23/02/2013,131594,112831,66762,52837,51083,415105,441926,249512,97492,,24848,,26112,
24/02/2013,124075,107474,65403,50826,50001,397773,428854,237441,96093,,24343,,24995,
25/02/2013,139657,114526,69324,53661,52857,430022,474184,256474,107498,,27321,,28926,
26/02/2013,144872,118098,69630,54191,53263,440050,477925,253019,106103,,27529,,29166,
27/02/2013,140973,118243,67909,53050,52263,432431,457937,249303,107679,,26675,,28778,
28/02/2013,139456,113744,69033,53446,50426,426099,464119,247659,106153,,26124,,28228,
01/03/2013,129988,111954,69134,54123,51421,416611,450943,257507,99540,,26265,,28088,
02/03/2013,119507,105178,63913,52822,49112,390526,422136,265268,91523,,24310,,25272,
03/03/2013,116777,103805,61757,52933,48433,383705,413779,257248,85156,,24348,,24462,
04/03/2013,130510,112479,63877,57331,50698,414885,467118,288022,99698,,27834,,28633,
05/03/2013,134544,113080,63157,56845,52123,419739,450716,274100,101033,,27233,,28288,
06/03/2013,129952,108911,66361,56226,51600,413047,448705,260003,102305,,26505,,27983,
07/03/2013,136350,108936,69068,56181,51836,422362,461171,268589,105894,,26971,,28278,
08/03/2013,140363,112602,72025,57444,52015,434444,470472,279568,106647,,27162,,28171,
09/03/2013,135889,110325,69892,54443,51491,422026,442079,266091,94567,,24869,,25398,
10/03/2013,139357,111972,70502,53156,53211,428189,458855,263875,97964,,24821,,24829,
11/03/2013,150854,122449,73316,56730,55944,459287,508741,280248,109258,,27873,,25386,
12/03/2013,141164,118150,70983,57088,53849,441230,496675,278370,106758,,27180,,30263,
13/03/2013,145784,119537,74359,58504,54956,453137,505626,274212,108529,,27804,,31385,
14/03/2013,152183,122931,74937,58523,54533,463107,509582,284294,108106,,28142,,31157,
15/03/2013,154602,122363,73089,57557,51838,459436,505850,282258,103323,,28134,,30044,
16/03/2013,135365,112776,68261,54838,50659,421893,447884,262260,96195,,24827,,26894,
17/03/2013,128905,108396,64183,53172,50100,404749,425611,247804,94060,,24348,,25049,
18/03/2013,141218,117928,67616,54913,52282,433952,486163,272554,114643,,27698,,29051,
19/03/2013,152673,121984,72157,56276,53756,456842,507742,269187,112521,,27864,,29217,
20/03/2013,154934,123599,72208,56177,55519,462428,508821,265720,110911,,27892,,29680,
21/03/2013,148579,120814,72174,56008,53567,451137,495718,269848,109261,,27970,,29597,
22/03/2013,149344,120730,71496,55636,53943,451141,489335,273073,107730,,28082,,29330,
23/03/2013,139019,115642,69106,51976,52537,428279,450588,247754,96813,,25149,,27236,
24/03/2013,126819,111534,65214,49289,50751,403605,432923,233428,91159,,24117,,25750,
25/03/2013,129215,114863,67467,51250,52739,415533,468288,253408,105324,,26117,,29236,
26/03/2013,127086,113221,66598,51914,52570,411385,458527,255153,104581,,26282,,29073,
27/03/2013,125534,111081,65687,52906,51756,406955,459879,256294,103461,,26295,,29159,
28/03/2013,120866,107418,61203,51444,49533,390462,448172,252891,89416,,25494,,28831,
29/03/2013,118553,106375,60896,50639,49145,385604,412285,235788,89218,,23331,,28124,
30/03/2013,114848,104882,59923,49521,48579,377746,394831,234675,87150,,23048,,26559,
31/03/2013,107846,98322,58023,45991,47088,357263,373374,208592,77958,929397,21538,,21585,
01/04/2013,114155,104094,60386,49773,49381,377785,399286,225034,82034,,26128,,23236,
02/04/2013,120752,108804,63186,52152,49540,394426,434138,246347,94814,,25437,,28040,
03/04/2013,118048,107701,64619,53391,48488,392241,429764,246693,96814,,25281,,28105,
04/04/2013,114971,106311,67140,54211,47087,389716,429844,244648,98190,,25201,,28520,
05/04/2013,110759,104535,66844,52731,47647,382513,414938,244962,94217,,24954,,28609,
06/04/2013,107087,101759,66345,50294,45182,370659,384213,227220,82297,,22249,,25163,
07/04/2013,105865,98803,64624,48751,45788,363821,383322,226312,83578,,21943,,23795,
08/04/2013,117364,106001,67480,53530,48177,392547,431622,246397,94402,,24609,,27300,
09/04/2013,119168,105536,67421,52876,47826,392822,431182,249352,98892,,24920,,27524,
10/04/2013,119561,104827,66524,52406,48010,391323,424800,247304,101120,,24831,,27563,
11/04/2013,124265,107466,63830,50754,50553,396862,427028,244342,101689,,24635,,27659,
12/04/2013,120959,105692,62115,49283,47573,385619,421720,242590,98115,,24069,,26514,
13/04/2013,107868,93772,59358,45866,43717,350580,382981,226591,83895,,21650,,23914,
14/04/2013,109347,97773,59793,44554,44931,356392,356869,213107,79688,,21143,,23241,
