,NO1,NO2,NO3,NO4,NO5,NO,NO,SE,FI,DK,Nordic,EE,LV,LT,Baltic
01/01/2013,73196,115645,31313,46072,40148,306371,306371,447328,185379,84209,1023288,23612,,12601,
02/01/2013,99035,169842,41418,70779,53930,435000,435000,486718,194639,102910,1219274,29967,,11398,
03/01/2013,88476,159771,40087,64665,46689,399683,399683,511799,196247,132943,1240673,31409,,12083,
04/01/2013,90007,167456,41438,69050,47746,415696,415696,500767,197262,121874,1235601,28528,,12067,
05/01/2013,86396,158647,43220,70491,56969,415722,415722,481785,201057,73959,1172527,27100,,10348,
06/01/2013,81562,145515,37738,65636,54128,384571,384571,463143,201883,77553,1127158,26616,,9762,
07/01/2013,115299,183400,53071,84316,59006,495086,495086,526531,209806,81884,1313314,36842,,9232,
08/01/2013,120146,179753,52221,88176,56298,496591,496591,513904,204150,84712,1299358,37626,,10101,
09/01/2013,115331,182798,49739,85553,54211,487624,487624,523001,214485,96747,1321866,40402,,11305,
10/01/2013,109261,183739,48037,83875,52911,477818,477818,544765,219482,111565,1353637,42908,,10542,
11/01/2013,114185,192339,53268,89534,58598,507923,507923,560855,231075,98920,1398773,42037,,10863,
12/01/2013,104547,193922,47666,91656,57570,495356,495356,529662,232725,87364,1345109,33637,,9848,
13/01/2013,91517,183781,44518,89979,54927,464720,464720,507587,224575,84112,1280993,32429,,9715,
14/01/2013,123330,198665,55214,94263,60274,531740,531740,551190,244189,111592,1438719,40666,,13193,
15/01/2013,123381,207300,58928,94356,62889,546849,546849,554342,247023,111766,1459986,41929,,11596,
16/01/2013,125814,213339,58795,97157,65553,560651,560651,540851,258418,113768,1473694,42368,,10313,
17/01/2013,126330,211736,57432,97331,64881,557708,557708,526189,261282,113313,1458490,42849,,12630,
18/01/2013,120075,207353,54208,94003,63415,539051,539051,540242,259360,132754,1471411,42573,,12928,
19/01/2013,96968,184800,43077,85903,57834,468573,468573,535959,240564,123063,1368166,33753,,9145,
20/01/2013,79341,164311,39194,82750,47754,413345,413345,504810,228580,117696,1264433,31728,,9413,
21/01/2013,111249,195388,49486,93962,57906,507990,507990,556964,241393,155842,1462189,40720,,12762,
22/01/2013,121613,208606,52812,96342,62421,541790,541790,564676,243341,141488,1491301,42269,,14209,
23/01/2013,127553,215814,57340,98361,65588,564653,564653,575183,250521,118776,1509133,41574,,10265,
24/01/2013,130212,212169,56991,99564,67096,566027,566027,566023,251127,111423,1494604,41430,,10587,
25/01/2013,127155,211868,57341,97203,65658,559222,559222,567918,248098,121742,1496983,42133,,11697,
26/01/2013,91072,174362,45786,84933,52211,448361,448361,511762,209450,141020,1310598,36821,,10226,
27/01/2013,80767,149247,38233,77009,46858,392112,392112,498271,196659,139876,1226919,34695,,11218,
28/01/2013,97218,174380,44437,81057,48875,445963,445963,538073,215308,139637,1338983,44670,,14269,
29/01/2013,96884,166011,38919,73536,47948,423295,423295,522505,209091,134321,1289213,44765,,13323,
30/01/2013,87493,158919,35710,68121,42707,392948,392948,532289,209741,142418,1277396,46224,,15132,
31/01/2013,87149,153343,35801,68943,43388,388613,388613,517269,207601,126977,1240468,42184,,15525,
01/02/2013,107084,186087,46730,82427,52909,475226,475226,526472,219136,105155,1325990,41167,,10993,
02/02/2013,83648,156945,36577,76258,48616,402043,402043,500457,210599,105945,1219043,34900,,10077,
03/02/2013,77943,144800,32284,76156,43072,374244,374244,478119,209501,109100,1170979,32842,,8924,
04/02/2013,92085,171118,39531,70136,49252,422118,422118,526526,220489,139703,1308836,40437,,9993,
05/02/2013,96575,176348,37385,69284,50178,429766,429766,538742,224786,114724,1308026,41207,,13051,
06/02/2013,108150,188761,44672,78031,55337,474946,474946,535484,236115,111317,1357867,39533,,11420,
07/02/2013,116248,188321,47928,73772,58742,485000,485000,544907,240422,108336,1378668,41109,,11036,
08/02/2013,112370,187456,48800,75323,60037,483980,483980,552342,242029,115425,1393779,41706,,10773,
09/02/2013,96915,166920,41575,68391,57992,431781,431781,529965,233386,101677,1296824,34548,,8244,
10/02/2013,84940,153095,39586,67534,51561,396711,396711,494179,224851,99215,1214962,32776,,8082,
11/02/2013,110313,190496,50017,76385,58270,485475,485475,519911,230877,121409,1357678,39712,,10737,
12/02/2013,116528,196144,52330,78571,62829,506397,506397,540419,237477,116502,1400799,38769,,11254,
13/02/2013,109714,195559,51759,83474,61904,502406,502406,545989,243154,104737,1396291,36906,,11204,
14/02/2013,109085,184532,48875,80120,55995,478599,478599,523016,233699,125228,1360546,36116,,9531,
15/02/2013,109307,187300,47043,82371,52784,478797,478797,525023,232787,111827,1348440,36970,,8849,
16/02/2013,89303,159181,38757,78626,51576,417443,417443,492310,219167,93052,1221974,33883,,8538,
17/02/2013,79385,140945,33861,74689,48666,377549,377549,489021,216891,88411,1171868,34614,,8183,
18/02/2013,94549,178421,43613,80088,53647,450319,450319,525564,232131,122966,1330978,39159,,11118,
19/02/2013,94332,176876,42669,78716,56019,448609,448609,532455,226097,134151,1341311,41560,,9807,
20/02/2013,105065,189319,46136,84920,59827,485267,485267,534410,237218,126441,1383335,42002,,11021,
21/02/2013,112931,195689,53554,92416,61937,516529,516529,533825,243546,113681,1407578,39211,,10630,
22/02/2013,110201,187623,52618,89464,59457,499360,499360,520737,241268,104500,1365867,38139,,9327,
23/02/2013,77955,136343,32743,74261,42564,363859,363859,475888,216531,115750,1172036,31068,,9985,
24/02/2013,70280,128320,31801,65784,36843,333025,333025,474486,211150,129676,1148344,29324,,11335,
25/02/2013,92905,164901,41869,79911,47743,427325,427325,524547,218741,127296,1297912,38572,,8312,
26/02/2013,98139,174805,47100,83761,49813,453613,453613,535759,222117,94114,1305609,39061,,7806,
27/02/2013,93839,173874,48250,82781,44047,442786,442786,523163,218078,93299,1277332,40019,,8911,
28/02/2013,82581,162364,47042,78969,42143,413098,413098,535970,214286,120980,1284334,40522,,10670,
01/03/2013,84763,166345,40614,76977,44823,413523,413523,533757,212510,112936,1272725,44639,,12439,
02/03/2013,63612,134410,33043,66296,43977,341331,341331,496021,212042,139165,1188563,36212,,10620,
03/03/2013,64725,137478,33210,64946,45358,345712,345712,476557,205271,103193,1130741,37191,,11962,
04/03/2013,84288,167968,50750,82657,45618,431269,431269,521432,234013,100689,1287416,41726,,11395,
05/03/2013,78367,158918,46099,76966,44532,404883,404883,516726,226900,95655,1244162,42031,,10508,
06/03/2013,81740,162804,44375,79015,40856,408786,408786,513010,223992,93046,1238833,43641,,9888,
07/03/2013,73287,154858,41893,77441,38643,386116,386116,507970,227291,138978,1260359,41358,,10599,
08/03/2013,76084,151310,37238,76803,39753,381179,381179,520353,226700,142701,1270944,39509,,9637,
09/03/2013,66245,135853,29787,69569,43384,344832,344832,492716,213901,135799,1187251,35085,,9522,
10/03/2013,64503,134946,28959,71663,45154,345222,345222,507548,214919,142806,1210497,34188,,10899,
11/03/2013,95642,181050,48584,86845,47711,459822,459822,528603,233090,121322,1342850,41525,,10403,
12/03/2013,100136,188270,52462,86107,42025,468995,468995,513244,238364,100182,1320790,38148,,11397,
13/03/2013,104247,191284,50956,85554,50114,482147,482147,528630,239936,107171,1357890,39336,,10897,
14/03/2013,106732,191806,52584,88163,51060,490335,490335,517121,249394,100201,1357061,37109,,9439,
15/03/2013,94978,183980,51077,89707,47975,467712,467712,498630,245021,109677,1321049,35838,,14958,
16/03/2013,70526,155558,40686,84561,42548,393875,393875,452165,228420,130421,1204882,30099,,12547,
17/03/2013,56546,141948,34422,81850,36212,350972,350972,435622,222003,137058,1145664,27766,,10708,
18/03/2013,74021,167665,43658,85753,41386,412478,412478,511844,233814,162989,1321128,32778,,13882,
19/03/2013,86627,173289,46338,84577,47588,438407,438407,532824,234125,146754,1352126,35767,,14943,
20/03/2013,96441,183088,48552,85182,45257,458518,458518,533833,234043,126841,1353243,36806,,12765,
21/03/2013,93907,190334,49264,88596,40674,462771,462771,512189,238684,117440,1331088,35278,,13062,
22/03/2013,71661,180779,44736,88963,39649,425789,425789,503139,233339,129398,1291665,34443,,12024,
23/03/2013,50391,166920,30781,80229,37628,365946,365946,459696,225257,118604,1169510,27361,,7989,
24/03/2013,46397,157758,30973,80399,31604,347129,347129,431245,208749,104852,1091975,27597,,8620,
25/03/2013,62194,174045,36978,82838,33840,389891,389891,472207,228958,113439,1204503,31993,,10935,
26/03/2013,64000,170177,39377,82018,33967,389537,389537,476761,231348,100935,1198583,31788,,10489,
27/03/2013,63359,175178,36509,84639,34395,394076,394076,484423,231906,96376,1206785,33278,,11458,
28/03/2013,54724,171193,29106,83196,31996,370216,370216,466246,229326,105873,1171661,34859,,11187,
29/03/2013,44735,164501,22161,80084,30480,341953,341953,436510,225111,99128,1102708,30559,,12899,
30/03/2013,42087,161982,21475,78927,29902,334365,334365,409744,216113,93567,1053801,30075,,9275,
31/03/2013,37791,145896,23105,67071,30410,304267,304267,380823,202459,76839,964396,28553,,6847,
01/04/2013,42352,158985,22403,76033,31683,331455,331455,407093,223251,73444,1035244,35885,,9915,
02/04/2013,58988,173849,31688,83305,30884,378712,378712,455967,229242,77704,1141625,34996,,12013,
03/04/2013,61691,172529,36044,76348,32646,379261,379261,447012,230038,83587,1139895,34233,,11467,
04/04/2013,60027,168269,37382,73488,31941,371098,371098,453895,229083,91844,1145928,32518,,12115,
05/04/2013,65867,171040,36557,72294,29534,375290,375290,444560,225504,94955,1140309,32980,,11343,
06/04/2013,43756,158308,34524,70903,27582,335062,335062,397487,219350,87252,1039164,26024,,9087,
07/04/2013,41693,152897,19760,68758,27383,310491,310491,392068,213336,95977,1011875,26752,,7550,
08/04/2013,66690,179087,31338,82471,34423,394008,394008,445394,224622,86851,1150881,31491,,13022,
09/04/2013,56866,171668,34416,79959,33963,376866,376866,439017,225400,127325,1168612,29543,,9582,
10/04/2013,57294,172004,31726,80579,39207,380810,380810,439466,223637,126760,1170675,33017,,12496,
11/04/2013,57328,166250,29731,78912,44899,377119,377119,456838,221444,109518,1164918,32775,,12149,
12/04/2013,52705,162911,25157,78126,42848,361747,361747,447725,221022,91445,1121935,32727,,12824,
13/04/2013,31167,143335,19364,74672,34625,303160,303160,396570,214752,80981,995472,30898,,12615,
14/04/2013,29221,128599,15767,61459,28984,264029,264029,374458,207061,100997,946545,26255,,10334,
15/04/2013,40393,140229,23774,69889,31225,305504,305504,434269,210631,101455,1051859,32129,,13658,
16/04/2013,45220,142660,27303,68249,38968,322389,322389,411114,207275,99185,1039972,34607,,15691,
17/04/2013,40237,127451,24147,58472,29863,280166,280166,425418,200157,99654,1005402,35946,,9576,
18/04/2013,43165,124235,19626,50951,28689,266661,266661,446780,191127,123463,1028032,35036,,6758,
19/04/2013,50427,117788,20139,46061,33391,267803,267803,464601,189666,128065,1050135,29918,,9873,
20/04/2013,48052,113406,22485,43345,31399,258682,258682,399313,189088,70221,917310,24992,,7694,
