Date,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kristiansand,Bergen,Molde,Trondheim,Tromso,EE,ELE,LV,LT,FRE
01/01/2013,31.73,30.44,30.44,30.44,30.44,30.44,26.22,26.25,32.88,32.88,32.88,32.72,32.72,32.72,31.54,31.54,,26.27,
02/01/2013,36.68,36.85,36.85,36.85,36.85,37.09,33.17,33.17,36.99,36.34,36.99,36.85,36.85,36.85,40,40,,34.13,
03/01/2013,35.1,34.99,34.99,34.99,34.99,35.03,30.93,31.28,35.51,35.42,35.51,35,35,35,40.9,40.9,,45.76,
04/01/2013,34.81,34.3,34.3,34.3,34.3,34.53,30.2,30.2,35.4,35.38,35.4,34.47,34.47,34.47,41.08,41.08,,40.9,
05/01/2013,35.38,35.45,35.45,35.45,35.88,35.45,35.36,35.49,35.47,35.28,35.28,35.45,35.45,35.45,37.6,37.6,,39.12,
06/01/2013,34.83,34.84,34.84,34.84,34.94,34.84,34.68,34.97,34.84,34.76,34.76,34.84,34.84,34.84,37.17,37.17,,36.29,
07/01/2013,38.52,38.72,38.72,38.72,42.67,39.34,49.1,49.26,38.38,36.65,37.28,38.72,38.72,38.72,39.96,39.96,,43.67,
08/01/2013,40.51,40.09,40.09,40.09,44.82,40.09,46.39,46.39,40.09,37.72,40.09,40.09,40.09,40.09,37.17,37.17,,43.45,
09/01/2013,39.26,39.76,39.76,39.76,39.76,39.76,39.76,39.76,39.77,38.02,39.77,39.76,39.76,39.76,39.92,39.92,,38.58,
10/01/2013,40.59,41.09,41.09,41.09,41.09,41.09,41.06,41.22,41.44,38.56,41.44,41.09,41.09,41.09,40.55,40.55,,37.71,
11/01/2013,41.82,42.49,42.49,43.02,43.02,43.93,43.02,43.02,43.17,38.87,43.17,42.49,42.49,42.49,43.3,43.3,,38,
12/01/2013,40.4,40.77,40.77,40.8,41.2,40.89,41.6,41.6,40.81,38.95,40.81,40.77,40.77,39.59,40.89,40.89,,39.49,
13/01/2013,39.36,39.45,39.45,39.52,39.52,39.5,39.52,39.52,39.59,38.9,39.59,39.45,39.45,39.03,40.03,40.03,,45.47,
14/01/2013,46.29,46.58,46.58,51.2,51.2,46.54,51.31,51.31,51.65,39.55,51.65,46.58,46.58,46.58,45.59,45.59,,47.37,
15/01/2013,47.84,50.44,50.44,50.44,50.44,50.44,50.44,50.44,50.55,40.08,50.55,50.44,50.44,50.44,49.54,49.54,,46.32,
16/01/2013,51.11,51.32,51.32,51.83,51.9,51.32,51.9,51.9,51.92,48.73,51.92,51.32,51.32,50.89,49.83,49.83,,50.47,
17/01/2013,53.44,53.56,53.56,53.56,53.56,53.56,53.56,53.56,53.56,52.47,53.56,53.56,53.56,53.56,49.18,49.19,,48.79,
18/01/2013,47.78,47.91,47.91,47.91,47.91,48.03,47.91,47.91,47.93,46.27,47.93,47.91,47.91,47.4,46.14,46.14,,51.57,
19/01/2013,40.16,40.01,40.01,40.01,40.01,40.16,38.6,38.6,40.53,40.42,40.53,40.01,40.01,39.57,40.16,40.16,,49.7,
20/01/2013,38.41,38.33,38.33,38.33,38.33,38.34,36.48,36.61,38.82,38.68,38.82,38.33,38.33,38.33,39.77,39.77,,43.58,
21/01/2013,41.23,41.46,41.46,41.46,41.46,41.46,37.23,38.82,41.88,40.2,41.88,41.46,41.46,41.33,41.07,42.62,,47.04,
22/01/2013,46.95,46.52,46.52,48.73,48.73,46.42,47.75,47.84,48.94,48.62,48.94,46.52,46.52,46.52,45.38,46.23,,44.69,
23/01/2013,54.24,53.74,53.74,57.4,57.4,53.64,57.4,57.4,57.28,52.87,57.28,53.74,53.74,53.63,53.21,56.36,,61.79,
24/01/2013,55.9,55.17,55.17,58.46,58.46,54.83,58.46,58.46,58.19,57.85,58.19,55.17,55.17,54.9,53.96,54.29,,57.66,
25/01/2013,50.87,50.94,50.94,50.94,50.94,50.94,50.9,50.9,50.77,50.09,50.77,50.94,50.94,50.73,50.34,54.34,,53.99,
26/01/2013,37.5,37.53,37.53,37.53,37.53,37.53,36.06,36.11,37.58,37.58,37.58,37.53,37.53,37.53,37.3,47.59,,41.36,
27/01/2013,36.03,36.06,36.06,36.06,36.06,36.06,31.12,31.69,36.4,36.4,36.4,36.06,36.06,36.06,36.47,37.11,,38.82,
28/01/2013,37.75,37.58,37.58,37.58,37.58,39.19,36.01,36.01,37.91,37.91,37.91,37.58,37.58,37.58,38.15,39.48,,39.68,
29/01/2013,37.04,36.86,36.86,36.86,36.86,37.53,31.42,31.57,37.39,37.39,37.39,37.03,37.03,37.03,37.41,41.81,,44.56,
30/01/2013,35.58,35.33,35.33,35.33,35.33,35.77,28.44,28.48,35.99,35.99,35.99,35.53,35.53,35.53,35.68,42.66,,43.66,
31/01/2013,35.95,35.35,35.35,35.35,35.35,35.52,27.8,27.89,36.26,36.26,36.26,35.74,35.74,35.74,35.5,41.25,,40.04,
01/02/2013,38.55,38.48,38.48,38.48,38.48,38.48,37.01,37.01,38.75,38.75,38.75,38.48,38.48,38.48,37.27,40.41,,44.58,
02/02/2013,36.5,36.33,36.33,36.33,36.33,36.33,36.2,36.28,36.77,36.77,36.77,36.33,36.33,36.33,36.3,40.65,,53.11,
03/02/2013,35.93,35.82,35.82,35.82,35.82,35.82,32.87,34.28,36.29,36.29,36.29,35.82,35.82,35.82,38,40.04,,44.38,
04/02/2013,36.79,36.62,36.62,36.62,36.62,36.62,31.13,32.69,37.18,37.18,37.18,36.8,36.8,36.8,36.46,42.23,,50.6,
05/02/2013,37.07,36.58,36.58,36.58,36.58,36.58,30.81,31.38,37.58,37.57,37.58,37.06,37.06,37.06,36.56,43.75,,39.08,
06/02/2013,39.4,39.24,39.24,39.24,39.33,39.24,39.15,39.24,39.72,39.72,39.72,39.24,39.24,39.24,39.1,44.42,,44.08,
07/02/2013,41.06,40.87,40.87,40.87,40.92,40.87,40.92,40.92,41.16,41.16,41.16,40.89,40.89,40.89,40.28,43.17,,45.45,
08/02/2013,39.8,39.73,39.73,39.73,39.73,39.73,39.73,39.73,39.88,39.88,39.88,39.73,39.73,39.73,38.42,40.76,,44.4,
09/02/2013,38.7,38.39,38.39,38.39,38.5,38.39,38.5,38.5,38.98,38.98,38.98,38.39,38.39,38.39,38.39,38.41,,43.22,
10/02/2013,37.8,37.56,37.56,37.56,37.56,37.56,37.56,37.56,37.98,37.98,37.98,37.56,37.56,37.56,37.56,37.72,,40.15,
11/02/2013,41.99,41.96,41.96,41.96,41.96,41.96,41.83,41.83,42.04,42.04,42.04,41.96,41.96,41.96,40.35,41.66,,44.33,
12/02/2013,43.1,43.09,43.09,43.09,43.09,43.09,43,43.09,43.13,43.13,43.13,43.09,43.09,43.09,43.09,44.86,,43.99,
13/02/2013,45.17,44.54,44.54,44.54,44.54,44.54,49.75,49.75,44.64,44.64,44.64,44.54,44.54,44.54,44.53,46.04,,45.06,
