Date,Hours,Time,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,TromsÃ¸,EE,LV,LT,FRE
01/01/16,00 - 01,00:00,157.26,157.26,157.26,157.26,157.26,157.26,157.26,157.26,157.26,157.26,157.26,157.26,157.26,157.26,157.26,269.72,269.72,
01/01/16,01 - 02,01:00,153.9,153.9,153.9,153.9,153.9,153.9,153.9,153.9,153.9,153.9,153.9,153.9,153.9,153.9,153.9,153.9,153.9,
01/01/16,02 - 03,02:00,151.03,151.03,151.03,151.03,151.03,151.03,151.03,151.03,151.03,151.03,151.03,151.03,151.03,151.03,151.03,151.03,151.03,
01/01/16,03 - 04,03:00,149.39,149.39,149.39,149.39,149.39,149.39,149.39,149.39,149.39,149.39,149.39,149.39,149.39,149.39,149.39,149.39,149.39,
01/01/16,04 - 05,04:00,148.43,148.43,148.43,148.43,148.43,148.43,148.43,148.43,148.43,148.43,148.43,148.43,148.43,148.43,148.43,148.43,148.43,
01/01/16,05 - 06,05:00,151.12,151.12,151.12,151.12,151.12,151.12,151.12,151.12,151.12,151.12,151.12,151.12,151.12,151.12,151.12,151.12,151.12,
01/01/16,06 - 07,06:00,147.38,147.38,147.38,147.38,147.38,147.38,147.38,147.38,147.38,147.38,147.38,147.38,147.38,147.38,147.38,147.38,147.38,147.38
01/01/16,07 - 08,07:00,147.48,147.48,147.48,147.48,147.48,147.48,147.48,147.48,147.48,147.48,147.48,147.48,147.48,147.48,147.48,147.48,147.48,147.48
01/01/16,08 - 09,08:00,145.75,145.75,145.75,145.75,145.75,145.75,145.75,145.75,145.75,145.75,145.75,145.75,145.75,145.75,145.75,168.58,168.58,145.75
01/01/16,09 - 10,09:00,147.67,147.67,147.67,147.67,147.67,147.67,147.67,147.67,147.67,147.67,147.67,147.67,147.67,147.67,147.67,335.83,335.83,147.67
01/01/16,10 - 11,10:00,151.41,151.41,151.41,151.41,151.41,151.41,151.41,151.41,151.41,151.41,151.41,151.41,151.41,151.41,151.41,336.4,336.4,151.41
01/01/16,11 - 12,11:00,154.96,154.96,154.96,154.96,154.96,154.96,154.96,154.96,154.96,154.96,154.96,154.96,154.96,154.96,154.96,336.11,336.11,154.96
01/01/16,12 - 13,12:00,158.32,158.32,158.32,158.32,158.32,158.32,158.32,158.32,158.32,158.32,158.32,158.32,158.32,158.32,158.32,336.21,336.21,158.32
01/01/16,13 - 14,13:00,160.43,160.43,160.43,160.43,160.43,160.43,160.43,160.43,160.43,160.43,160.43,160.43,160.43,160.43,160.43,336.3,336.3,160.43
01/01/16,14 - 15,14:00,164.75,164.75,164.75,164.75,164.75,164.75,164.75,164.75,164.75,164.75,164.75,164.75,164.75,164.75,164.75,336.5,336.5,164.75
01/01/16,15 - 16,15:00,172.71,172.71,172.71,172.71,172.71,172.71,172.71,172.71,172.71,172.71,172.71,172.71,172.71,172.71,172.71,381.98,381.98,172.71
01/01/16,16 - 17,16:00,177.41,177.12,177.12,177.8,177.8,177.8,177.8,177.8,177.8,177.8,177.8,177.12,177.12,177.12,177.8,381.98,381.98,177.8
01/01/16,17 - 18,17:00,180.39,177.6,177.6,183.36,183.36,183.36,183.36,183.36,183.36,183.36,183.36,177.6,177.6,177.6,183.36,381.98,381.98,183.36
01/01/16,18 - 19,18:00,178.66,178.66,178.66,179.23,179.23,179.23,179.23,179.23,179.23,179.23,179.23,178.66,178.66,178.66,179.23,381.98,381.98,179.23
01/01/16,19 - 20,19:00,171.94,172.04,172.04,172.04,172.04,172.04,172.04,172.04,172.04,172.04,172.04,172.04,172.04,172.04,172.04,342.45,342.45,172.04
01/01/16,20 - 21,20:00,169.54,169.74,169.74,169.74,169.74,169.74,169.74,169.74,169.74,169.74,169.74,169.74,169.74,169.74,169.74,336.59,336.59,169.74
01/01/16,21 - 22,21:00,166.67,166.28,166.28,166.28,166.28,185.09,166.28,166.28,166.28,166.28,166.28,166.28,166.28,166.28,185.09,320.76,320.76,185.09
01/01/16,22 - 23,22:00,161.58,160.72,160.72,160.72,160.72,211.47,160.72,160.72,160.72,160.72,160.72,160.72,160.72,160.72,211.47,259.83,259.83,
01/01/16,23 - 00,23:00,155.73,155.92,155.92,155.92,155.92,155.92,155.92,155.92,155.92,155.92,155.92,155.92,155.92,155.92,155.92,192.67,192.67,
02/01/16,00 - 01,00:00,157.12,158.95,158.95,158.95,158.95,158.95,6.47,158.95,158.95,158.95,158.95,158.95,158.95,158.95,158.95,158.95,158.95,
02/01/16,01 - 02,01:00,152.97,153.35,153.35,153.35,153.35,153.35,95.54,153.35,153.35,153.35,153.35,153.35,153.35,153.35,153.35,193.12,193.12,
02/01/16,02 - 03,02:00,144.96,145.05,145.05,145.05,145.05,145.05,145.05,145.05,145.05,145.05,145.05,145.05,145.05,145.05,145.05,174.39,174.39,
02/01/16,03 - 04,03:00,127.2,127.3,127.3,127.3,127.3,127.3,123.24,127.3,127.3,127.3,127.3,127.3,127.3,127.3,127.3,185.4,185.4,
02/01/16,04 - 05,04:00,122.47,122.47,122.47,122.47,122.47,122.47,108.77,122.47,122.47,122.47,122.47,122.47,122.47,122.47,122.47,187.42,187.42,
02/01/16,05 - 06,05:00,124.88,124.88,124.88,124.88,124.88,124.88,114.94,124.88,124.88,124.88,124.88,124.88,124.88,124.88,124.88,185.4,185.4,
02/01/16,06 - 07,06:00,131.06,131.16,131.16,131.16,131.16,131.16,121.8,131.16,131.16,131.16,131.16,131.16,131.16,131.16,131.16,195.82,195.82,
02/01/16,07 - 08,07:00,138.68,137.53,137.53,137.53,137.53,167.64,133.47,137.53,137.53,137.53,137.53,137.53,137.53,137.53,167.64,344.35,344.35,167.64
02/01/16,08 - 09,08:00,151.91,151.52,151.52,151.52,151.52,186.65,155.57,151.52,151.52,151.52,151.52,151.52,151.52,151.52,186.65,357.86,357.86,186.65
02/01/16,09 - 10,09:00,151.91,151.71,151.71,151.71,151.71,192.63,151.71,151.71,151.71,151.71,151.71,151.71,151.71,151.71,192.63,357.57,357.57,192.63
02/01/16,10 - 11,10:00,154.32,154.13,154.13,154.13,154.13,192.15,154.13,154.13,154.13,154.13,154.13,154.13,154.13,154.13,192.15,357.86,357.86,192.15
02/01/16,11 - 12,11:00,155.09,155.77,155.77,155.77,155.77,155.77,154.22,155.77,155.77,154.22,155.77,155.77,155.77,155.77,155.77,357.96,357.96,155.77
02/01/16,12 - 13,12:00,153.35,153.16,153.16,153.16,153.16,153.16,153.16,153.16,153.16,153.16,153.16,155,155,155,153.16,357.96,357.96,153.16
02/01/16,13 - 14,13:00,154.51,154.22,154.22,154.22,154.22,192.73,154.22,154.22,154.22,154.22,154.22,155.19,155.19,155.19,192.73,357.96,357.96,192.73
02/01/16,14 - 15,14:00,156.35,155.57,155.57,155.57,155.57,267.91,154.32,155.57,155.57,154.32,155.57,155.67,155.67,155.67,267.91,384.11,384.11,267.91
02/01/16,15 - 16,15:00,161.94,159.92,159.92,159.92,159.92,384.98,154.32,159.92,159.92,154.32,159.92,159.92,159.92,159.92,384.98,384.98,384.98,384.98
02/01/16,16 - 17,16:00,169.28,166.87,166.87,166.87,166.87,384.98,156.54,166.87,166.87,156.54,166.87,166.87,166.87,166.87,384.98,384.98,384.98,384.98
02/01/16,17 - 18,17:00,172.95,169.09,169.09,169.09,169.09,384.79,159.34,169.09,169.09,159.34,169.09,169.09,169.09,169.09,384.79,384.79,384.79,384.79
02/01/16,18 - 19,18:00,169.95,167.64,167.64,167.64,167.64,384.98,157.99,167.64,167.64,157.99,167.64,167.64,167.64,167.64,384.98,384.98,384.98,384.98
02/01/16,19 - 20,19:00,163.68,163.58,163.58,163.58,163.58,335.66,155.19,163.58,163.58,155.19,163.58,163.58,163.58,163.58,335.66,384.69,384.69,335.66
02/01/16,20 - 21,20:00,161.17,159.82,159.82,159.82,159.82,290.3,155.86,159.82,159.82,155.86,159.82,159.82,159.82,159.82,290.3,384.3,384.3,290.3
02/01/16,21 - 22,21:00,155.77,152.78,152.78,152.78,152.78,302.66,152.78,152.78,152.78,152.78,152.78,152.78,152.78,152.78,302.66,344.54,344.54,302.66
02/01/16,22 - 23,22:00,154.71,152.68,152.68,152.68,152.68,261.83,152.68,152.68,152.68,152.68,152.68,152.68,152.68,152.68,261.83,281.81,281.81,261.83
02/01/16,23 - 00,23:00,149.2,147.76,147.76,147.76,147.76,227.86,147.76,147.76,147.76,147.76,147.76,147.76,147.76,147.76,227.86,261.74,261.74,227.86
03/01/16,00 - 01,00:00,154.51,154.32,154.32,154.32,154.32,173.24,67.46,154.32,154.32,154.32,154.32,154.32,154.32,154.32,173.24,244.36,244.36,173.24
