Date,NO,SE,FI
07/01/13,54099,20521,3793
14/01/13,51059,19122,3621
21/01/13,48117,17706,3471
28/01/13,45906,16650,3393
04/02/13,43302,15356,3202
11/02/13,40547,13984,3005
18/02/13,37880,12727,2807
25/02/13,35701,11612,2611
04/03/13,33484,10479,2406
11/03/13,30839,9228,2205
18/03/13,28277,8084,2025
25/03/13,26050,7114,1878
01/04/13,23848,6287,1726
08/04/13,21647,5445,1597
15/04/13,21808,5388,1783
22/04/13,21285,5664,2194
29/04/13,20539,5846,2707
06/05/13,23140,7042,3215
13/05/13,28729,10065,3618
20/05/13,36941,14729,3740
27/05/13,43536,17216,3769
03/06/13,47075,19080,3765
10/06/13,49882,20101,3770
17/06/13,52909,21019,3805
24/06/13,56244,22159,3787
01/07/13,57988,22969,3797
08/07/13,59051,23229,3719
15/07/13,60313,23673,3732
22/07/13,60197,23751,3680
29/07/13,60812,24256,3620
05/08/13,62288,24310,3563
12/08/13,63137,24449,3561
19/08/13,63967,24425,3485
26/08/13,63460,24258,3392
02/09/13,63358,24087,3312
09/09/13,62789,23560,3205
16/09/13,63840,24461,3158
23/09/13,62964,24515,3079
30/09/13,61854,24284,3024
07/10/13,62577,24280,3029
14/10/13,61276,23748,2939
21/10/13,62601,23630,2993
28/10/13,63217,24073,3095
04/11/13,62390,23948,3233
11/11/13,61984,23767,3328
18/11/13,60716,23390,3441
25/11/13,59336,23142,3493
02/12/13,57989,22689,3486
09/12/13,57168,22595,3468
16/12/13,56427,22417,3478
23/12/13,56057,22406,3617
30/12/13,55198,21981,3724
06/01/14,53881,21425,3768
13/01/14,51076,20255,3704
20/01/14,48377,18972,3591
27/01/14,45710,17688,3459
03/02/14,43538,16616,3332
10/02/14,41732,15595,3222
17/02/14,39740,14564,3037
24/02/14,38121,13544,2895
03/03/14,36595,12640,2792
10/03/14,35204,12023,2716
17/03/14,34311,11290,2608
24/03/14,32343,10258,2514
31/03/14,30209,9228,2391
07/04/14,29359,8618,2317
14/04/14,28311,8285,2345
21/04/14,28450,8568,2477
28/04/14,28661,8992,2625
05/05/14,28251,9049,2684
12/05/14,29661,9993,2983
19/05/14,37221,13990,3573
26/05/14,42648,17048,3838
02/06/14,48433,19560,3897
09/06/14,53515,21648,3952
16/06/14,56286,22267,3952
23/06/14,57003,22437,3894
30/06/14,58732,23042,3905
07/07/14,62821,23835,3862
14/07/14,64394,24609,3846
21/07/14,64806,24793,3752
28/07/14,65147,24832,3747
04/08/14,65754,24946,3671
11/08/14,66330,24819,3639
18/08/14,66711,25140,3638
25/08/14,66309,25000,3629
01/09/14,66054,24523,3563
08/09/14,65951,24126,3499
15/09/14,64615,23606,3408
22/09/14,64405,23403,3423
29/09/14,64449,23427,3449
06/10/14,65237,23518,3449
13/10/14,64640,23401,3391
20/10/14,66817,23627,3327
27/10/14,69426,24152,3400
03/11/14,69011,24114,3503
10/11/14,68133,23917,3615
17/11/14,66210,23240,3608
24/11/14,64331,22655,3570
01/12/14,62297,22092,3539
08/12/14,60443,21497,3527
15/12/14,58655,20901,3504
22/12/14,56579,20125,3451
29/12/14,55533,19854,3455
05/01/15,53780,19180,3406
12/01/15,51907,18458,3324
19/01/15,49084,17283,3209
