,SE1,SE2,SE3,SE4,DK1,DK2,EE,LV,LT
01/01/2013,,,,,20882,11388,3633,,3377
02/01/2013,,,,,26814,12516,1502,,2370
03/01/2013,,,,,53823,19333,726,,2942
04/01/2013,,,,,50590,15665,742,,2426
05/01/2013,,,,,11754,1958,2058,,2098
06/01/2013,,,,,15860,4432,714,,868
07/01/2013,,,,,3594,1843,284,,164
08/01/2013,,,,,3522,2696,2314,,957
09/01/2013,,,,,14771,7133,1463,,1082
10/01/2013,,,,,29442,10978,2241,,1202
11/01/2013,,,,,12976,4906,3560,,1386
12/01/2013,,,,,5590,2591,646,,1557
13/01/2013,,,,,5613,3722,402,,78
14/01/2013,,,,,12243,6751,1456,,69
15/01/2013,,,,,5381,1176,438,,291
16/01/2013,,,,,1665,1858,339,,1113
17/01/2013,,,,,5704,3734,1684,,1554
18/01/2013,,,,,20175,8912,1376,,472
19/01/2013,,,,,26169,6745,167,,467
20/01/2013,,,,,24170,6784,455,,730
21/01/2013,,,,,48740,16761,907,,992
22/01/2013,,,,,28988,12705,1648,,1166
23/01/2013,,,,,5592,5890,556,,300
24/01/2013,,,,,1694,2556,914,,162
25/01/2013,,,,,13952,1518,1519,,408
26/01/2013,,,,,33208,15130,3060,,2010
27/01/2013,,,,,39515,13714,3413,,2462
28/01/2013,,,,,39954,12998,3116,,1485
29/01/2013,,,,,40227,14306,2200,,768
30/01/2013,,,,,53919,15506,3742,,2789
31/01/2013,,,,,41325,16301,1172,,4779
01/02/2013,,,,,9254,5969,936,,695
02/02/2013,,,,,12805,4738,432,,346
03/02/2013,,,,,23569,7957,65,,473
04/02/2013,,,,,45935,16172,1359,,1893
05/02/2013,,,,,22550,12679,1979,,3590
06/02/2013,,,,,12415,7546,1459,,2372
07/02/2013,,,,,10716,2425,494,,563
08/02/2013,,,,,12843,2769,1561,,778
09/02/2013,,,,,7035,2132,393,,343
10/02/2013,,,,,8236,1435,305,,552
11/02/2013,,,,,21115,7127,645,,493
12/02/2013,,,,,12660,5618,690,,669
13/02/2013,,,,,2687,377,342,,1429
14/02/2013,,,,,30265,3647,264,,504
15/02/2013,,,,,11858,4321,28,,362
16/02/2013,,,,,1773,536,15,,75
17/02/2013,,,,,2664,244,367,,218
18/02/2013,,,,,23569,6711,552,,1316
19/02/2013,,,,,31179,13472,2257,,1589
20/02/2013,,,,,19832,12628,2166,,2999
21/02/2013,,,,,6612,6441,228,,954
22/02/2013,,,,,3159,2697,601,,223
23/02/2013,,,,,18659,13282,143,,2480
24/02/2013,,,,,34177,15669,225,,2719
25/02/2013,,,,,21452,12896,176,,1219
26/02/2013,,,,,3536,2712,1744,,163
27/02/2013,,,,,3085,521,1383,,351
28/02/2013,,,,,29913,8119,2629,,2958
01/03/2013,,,,,13550,6160,3207,,3302
02/03/2013,,,,,42489,13368,1773,,2726
03/03/2013,,,,,23844,6518,2672,,4458
04/03/2013,,,,,7156,760,1328,,1174
05/03/2013,,,,,9410,3049,1044,,1459
06/03/2013,,,,,9835,1741,3208,,1293
07/03/2013,,,,,53947,22205,3024,,1327
08/03/2013,,,,,59650,22634,1299,,1675
09/03/2013,,,,,56555,21322,1118,,2713
10/03/2013,,,,,59123,22567,357,,3617
11/03/2013,,,,,25338,14416,1492,,2098
12/03/2013,,,,,9309,1252,852,,589
13/03/2013,,,,,9496,2797,1284,,42
14/03/2013,,,,,4921,1405,324,,113
15/03/2013,,,,,19601,415,733,,2497
16/03/2013,,,,,42873,14851,1109,,1794
17/03/2013,,,,,60805,21840,741,,315
18/03/2013,,,,,67604,23604,1738,,1769
19/03/2013,,,,,44524,17293,2814,,4208
20/03/2013,,,,,29019,10484,3719,,1938
21/03/2013,,,,,21475,6928,2319,,1361
22/03/2013,,,,,36141,14362,1296,,2654
23/03/2013,,,,,38757,13358,458,,691
24/03/2013,,,,,25500,8357,669,,934
25/03/2013,,,,,24064,10064,521,,767
26/03/2013,,,,,13719,8430,474,,473
27/03/2013,,,,,10478,7344,347,,779
28/03/2013,,,,,16923,10416,1048,,1438
29/03/2013,,,,,15099,4936,680,,3323
30/03/2013,,,,,10628,1304,1145,,559
31/03/2013,,,,,4711,1307,175,,419
01/04/2013,,,,,4965,2115,1634,,2130
02/04/2013,,,,,5202,527,1164,,547
03/04/2013,,,,,7360,4307,233,,758
04/04/2013,,,,,8084,6902,472,,1349
05/04/2013,,,,,12323,5734,1628,,1057
06/04/2013,,,,,13291,1564,1066,,787
07/04/2013,,,,,19972,8670,1019,,1293
08/04/2013,,,,,3691,1450,100,,1179
09/04/2013,,,,,32880,15562,29,,478
10/04/2013,,,,,35479,15274,532,,1063
11/04/2013,,,,,20035,8866,564,,465
12/04/2013,,,,,6081,2812,973,,2048
13/04/2013,,,,,4467,1529,2857,,1124
14/04/2013,,,,,31569,5386,565,,618
15/04/2013,,,,,23587,8959,2169,,1269
16/04/2013,,,,,26577,2935,2688,,2607
17/04/2013,,,,,28391,5148,3152,,1511
18/04/2013,,,,,59348,16513,3167,,2484
19/04/2013,,,,,56390,14647,4000,,3020
20/04/2013,,,,,13328,2426,2790,,1987
21/04/2013,,,,,10037,3546,588,,592
22/04/2013,,,,,20368,2003,977,,1547
23/04/2013,,,,,48575,17185,3692,,2557
24/04/2013,,,,,36870,11963,3524,,4266
25/04/2013,,,,,11081,3853,2398,,2019
26/04/2013,,,,,9442,3812,1113,,1095
27/04/2013,,,,,10095,3023,250,,847
28/04/2013,,,,,24074,2474,182,,118
29/04/2013,,,,,53897,13428,2278,,1180
30/04/2013,,,,,44026,12548,3383,,3223
01/05/2013,,,,,7106,991,1400,,443
02/05/2013,,,,,9098,1296,2477,,489
03/05/2013,,,,,10828,1420,422,,913
04/05/2013,,,,,32339,6018,673,,216
05/05/2013,,,,,12889,2381,2840,,1315
06/05/2013,,,,,2910,912,698,,132
07/05/2013,,,,,5838,4719,1161,,354
08/05/2013,,,,,19380,4881,450,,1650
09/05/2013,,,,,14586,1988,1689,,1504
10/05/2013,,,,,37908,3988,316,,241
11/05/2013,,,,,19035,3719,279,,315
12/05/2013,,,,,14043,3145,89,,310
13/05/2013,,,,,26001,7508,172,,443
14/05/2013,,,,,13844,4685,471,,497
15/05/2013,,,,,30686,12055,174,,762
16/05/2013,,,,,14568,8012,1054,,1425
17/05/2013,,,,,27846,11375,1399,,979
18/05/2013,,,,,20469,7485,807,,931
19/05/2013,,,,,7740,1479,511,,643
20/05/2013,,,,,2455,481,1167,,743
21/05/2013,,,,,8832,3132,1516,,630
22/05/2013,,,,,51958,9599,730,,382
23/05/2013,,,,,30419,8020,222,,711
24/05/2013,,,,,9715,2661,822,,552
25/05/2013,,,,,16051,3986,2787,,1470
26/05/2013,,,,,30113,6304,1634,,892
27/05/2013,,,,,9653,1896,878,,1437
28/05/2013,,,,,6447,3882,2020,,1587
29/05/2013,,,,,27025,10061,1231,,570
30/05/2013,,,,,12745,4180,326,,834
31/05/2013,,,,,14897,4498,675,,1970
01/06/2013,,,,,21455,3165,1058,,1673
02/06/2013,,,,,55948,13620,856,,490
03/06/2013,,,,,37636,10974,369,49,744
04/06/2013,,,,,13945,5606,271,240,574
05/06/2013,,,,,6639,1706,221,157,583
06/06/2013,,,,,4037,1145,411,31,301
07/06/2013,,,,,7022,342,285,31,319
08/06/2013,,,,,19673,2214,301,77,253
09/06/2013,,,,,12364,1531,189,155,231
10/06/2013,,,,,5445,1454,351,54,365
11/06/2013,,,,,3882,1196,1753,72,411
12/06/2013,,,,,19133,1790,459,74,331
13/06/2013,,,,,41535,5989,1124,412,1712
14/06/2013,,,,,39752,14024,2799,584,2612
15/06/2013,,,,,29364,6296,1938,257,818
16/06/2013,,,,,42197,13318,1750,487,1504
17/06/2013,,,,,10036,2032,1789,374,1879
18/06/2013,,,,,4404,386,544,100,165
19/06/2013,,,,,15451,4140,185,26,204
20/06/2013,,,,,4878,1576,642,118,847
21/06/2013,,,,,19836,10675,506,146,1381
22/06/2013,,,,,33030,10913,1024,185,249
23/06/2013,,,,,27311,5756,108,61,328
24/06/2013,,,,,17763,4232,187,35,516
25/06/2013,,,,,21747,4354,209,89,962
26/06/2013,,,,,42782,16824,437,197,847
27/06/2013,,,,,26427,9467,588,122,530
28/06/2013,,,,,28323,6153,276,30,147
29/06/2013,,,,,38723,8621,572,31,157
30/06/2013,,,,,34895,14766,303,88,627
01/07/2013,,,,,9646,3122,345,114,1369
02/07/2013,,,,,10860,1138,655,157,453
03/07/2013,,,,,17803,5462,208,13,185
04/07/2013,,,,,5742,907,183,48,702
05/07/2013,,,,,20424,3836,756,116,353
06/07/2013,,,,,6491,1645,1005,100,677
07/07/2013,,,,,6380,515,823,107,687
08/07/2013,,,,,12662,1271,743,192,737
09/07/2013,,,,,15927,1018,457,103,481
10/07/2013,,,,,34451,11167,313,75,320
11/07/2013,,,,,6177,4711,382,114,211
12/07/2013,,,,,2439,1374,419,236,1099
13/07/2013,,,,,19227,5101,320,188,460
14/07/2013,,,,,43230,13634,400,44,652
15/07/2013,,,,,28286,6992,751,116,779
16/07/2013,,,,,20125,4842,2045,198,1617
17/07/2013,,,,,18610,3015,2137,96,801
18/07/2013,,,,,30009,5297,904,138,1255
19/07/2013,,,,,34883,8566,1891,384,2377
20/07/2013,,,,,4642,969,3046,510,2623
21/07/2013,,,,,3931,1372,2026,410,2083
22/07/2013,,,,,1808,385,4022,732,3133
23/07/2013,,,,,8579,3219,2394,473,2248
24/07/2013,,,,,5782,850,1035,77,762
25/07/2013,,,,,2580,381,311,4,85
26/07/2013,,,,,1714,595,490,16,67
27/07/2013,,,,,4379,1329,90,5,101
28/07/2013,,,,,21238,5790,66,43,361
29/07/2013,,,,,5165,230,422,153,1066
30/07/2013,,,,,16288,6743,1825,196,1683
31/07/2013,,,,,17894,6400,755,148,642
01/08/2013,,,,,4885,1400,755,321,1469
02/08/2013,,,,,16563,4015,1226,205,1299
03/08/2013,,,,,31127,7126,311,43,290
04/08/2013,,,,,10536,816,54,57,313
05/08/2013,,,,,16369,3814,255,27,94
06/08/2013,,,,,32960,9040,85,95,653
07/08/2013,,,,,9984,1267,1287,145,951
08/08/2013,,,,,11824,5801,500,35,347
09/08/2013,,,,,16598,3044,1349,274,1598
10/08/2013,,,,,12500,3753,662,24,123
11/08/2013,,,,,30248,9853,258,186,1021
12/08/2013,,,,,26966,11351,2065,487,1686
13/08/2013,,,,,40732,13716,1185,136,758
14/08/2013,,,,,41359,16720,1696,206,2722
15/08/2013,,,,,19351,3132,3012,198,1146
16/08/2013,,,,,29369,3843,940,140,647
17/08/2013,,,,,12521,1171,1975,403,1580
18/08/2013,,,,,39191,7406,2227,253,1555
19/08/2013,,,,,7299,820,1055,84,314
20/08/2013,,,,,10019,3070,16,19,541
21/08/2013,,,,,8053,1305,402,78,322
22/08/2013,,,,,1041,233,549,109,485
23/08/2013,,,,,8153,3879,1053,169,928
24/08/2013,,,,,24826,8630,364,126,1072
25/08/2013,,,,,19579,9596,233,86,859
26/08/2013,,,,,6707,6404,69,99,622
27/08/2013,,,,,2745,1747,125,48,623
28/08/2013,,,,,5512,459,430,32,147
29/08/2013,,,,,16821,1212,296,94,242
30/08/2013,,,,,10340,2094,134,30,393
31/08/2013,,,,,38656,9294,306,89,570
01/09/2013,,,,,43763,14120,1196,288,2452
02/09/2013,,,,,52763,17130,978,224,2724
03/09/2013,,,,,13934,2749,1331,548,3020
04/09/2013,,,,,2973,207,93,36,489
05/09/2013,,,,,19142,3619,22,19,155
06/09/2013,,,,,41184,11141,336,35,393
07/09/2013,,,,,20174,9683,230,28,450
08/09/2013,,,,,29480,10611,204,13,404
09/09/2013,,,,,9080,9517,242,165,1209
10/09/2013,,,,,11881,3448,725,116,602
11/09/2013,,,,,9282,2166,438,68,524
12/09/2013,,,,,4601,317,254,71,440
13/09/2013,,,,,1189,138,538,155,724
14/09/2013,,,,,13963,1471,1008,200,1236
15/09/2013,,,,,36965,7717,658,61,610
16/09/2013,,,,,39691,13667,1094,181,795
17/09/2013,,,,,29758,10410,1262,100,133
18/09/2013,,,,,5153,1388,1690,62,485
19/09/2013,,,,,3819,1074,1299,56,201
20/09/2013,,,,,883,492,311,187,1050
21/09/2013,,,,,11599,2293,350,226,1490
22/09/2013,,,,,42316,13003,1812,401,2815
23/09/2013,,,,,40408,13230,3200,796,3845
24/09/2013,,,,,11491,2122,2493,274,1359
25/09/2013,,,,,11519,1888,2054,204,1133
26/09/2013,,,,,9115,2513,1953,105,547
27/09/2013,,,,,7059,2586,505,232,1155
28/09/2013,,,,,5702,857,1071,80,334
29/09/2013,,,,,17126,5083,911,139,649
30/09/2013,,,,,16594,5735,460,55,306
01/10/2013,,,,,18021,3899,455,49,517
02/10/2013,,,,,27009,7779,169,24,259
03/10/2013,,,,,47594,14947,1317,51,45
04/10/2013,,,,,47920,16760,1506,247,844
05/10/2013,,,,,28770,3321,3121,507,2256
06/10/2013,,,,,16195,1928,1428,167,781
07/10/2013,,,,,21941,2511,1637,293,1869
08/10/2013,,,,,23064,2726,1093,372,1150
09/10/2013,,,,,20709,7642,2976,657,1476
10/10/2013,,,,,10552,2913,676,87,425
11/10/2013,,,,,38430,15030,587,84,267
12/10/2013,,,,,42741,19109,401,63,547
13/10/2013,,,,,21925,4814,1333,41,620
14/10/2013,,,,,9402,2450,481,19,157
15/10/2013,,,,,12300,2480,1530,100,138
16/10/2013,,,,,4889,1095,717,19,40
17/10/2013,,,,,18499,10100,714,174,1024
18/10/2013,,,,,18263,9114,3902,551,2234
19/10/2013,,,,,20625,5727,2958,473,2143
20/10/2013,,,,,18851,4691,470,29,362
21/10/2013,,,,,12290,5891,499,280,1653
22/10/2013,,,,,38134,10436,2115,405,1872
23/10/2013,,,,,42382,13429,4773,729,3770
24/10/2013,,,,,50932,15241,3631,781,3110
25/10/2013,,,,,24883,6307,2935,562,2699
26/10/2013,,,,,52646,13530,2144,605,2696
27/10/2013,,,,,57779,18308,2113,412,2436
28/10/2013,,,,,50240,17694,3232,875,4074
29/10/2013,,,,,45050,19810,4430,675,4221
30/10/2013,,,,,30471,16540,1885,615,3686
31/10/2013,,,,,42411,18074,1571,674,2729
01/11/2013,,,,,32814,13379,3149,683,2535
02/11/2013,,,,,11402,1309,1273,253,1226
03/11/2013,,,,,62442,17271,568,92,886
04/11/2013,,,,,28775,10948,2246,648,3764
05/11/2013,,,,,25486,13603,3696,737,3345
06/11/2013,,,,,8907,5695,699,59,241
07/11/2013,,,,,24048,4853,569,106,672
08/11/2013,,,,,28101,4076,2376,365,859
09/11/2013,,,,,36066,18723,2058,496,2558
10/11/2013,,,,,16403,6575,2990,478,1760
11/11/2013,,,,,22575,4408,159,20,381
12/11/2013,,,,,38544,14152,3673,616,1963
13/11/2013,,,,,37316,8993,2467,364,2548
14/11/2013,,,,,27464,6700,822,105,758
15/11/2013,,,,,23254,3676,1863,397,1569
16/11/2013,,,,,50683,15981,3470,759,4276
17/11/2013,,,,,17966,4719,4091,594,2744
18/11/2013,,,,,11493,3276,3047,384,2071
19/11/2013,,,,,13201,5455,3700,445,2191
20/11/2013,,,,,11141,2672,1554,123,991
21/11/2013,,,,,16361,1271,1091,115,479
22/11/2013,,,,,8501,2586,244,27,201
23/11/2013,,,,,10622,1424,364,53,64
24/11/2013,,,,,30402,10647,1474,223,1469
25/11/2013,,,,,13245,6466,845,201,998
26/11/2013,,,,,11730,1993,1464,221,1062
27/11/2013,,,,,54525,16688,3577,823,4366
28/11/2013,,,,,61306,20659,4377,958,4945
29/11/2013,,,,,30577,11146,1477,308,1318
30/11/2013,,,,,22760,5455,1416,92,336
01/12/2013,,,,,57088,17137,3462,877,4625
02/12/2013,,,,,10634,2012,2721,472,1826
03/12/2013,,,,,33960,7478,3249,809,3953
04/12/2013,,,,,47868,15986,327,419,3883
05/12/2013,,,,,51691,16088,2863,884,4606
06/12/2013,,,,,53040,14958,1826,489,4367
07/12/2013,,,,,31192,15697,798,479,3542
08/12/2013,,,,,42877,13208,396,338,2543
09/12/2013,,,,,9061,4299,292,88,965
10/12/2013,,,,,20933,4326,2054,311,1459
11/12/2013,,,,,23203,5325,2051,409,2337
12/12/2013,,,,,40741,7404,3309,682,2968
13/12/2013,,,,,14859,2891,3417,363,1991
14/12/2013,,,,,22888,5086,561,60,375
15/12/2013,,,,,52235,15569,2700,247,1125
16/12/2013,,,,,64092,18361,3190,724,2584
17/12/2013,,,,,15008,4162,3144,447,2658
18/12/2013,,,,,26565,5854,1664,159,491
19/12/2013,,,,,41439,14109,1944,302,2034
20/12/2013,,,,,45386,11879,3374,324,925
21/12/2013,,,,,74771,21352,3010,807,3636
22/12/2013,,,,,62456,21257,4287,1004,3732
23/12/2013,,,,,61583,18404,4480,940,4165
24/12/2013,,,,,62986,21811,3924,820,4130
25/12/2013,,,,,42135,8908,4587,611,4162
26/12/2013,,,,,10833,1067,2356,175,2323
27/12/2013,,,,,59758,15572,3509,585,2781
28/12/2013,,,,,58640,9571,4623,677,3525
29/12/2013,,,,,39922,8771,1465,208,1262
30/12/2013,,,,,54850,15538,2710,734,2997
31/12/2013,,,,,49814,11490,3157,585,2038
01/01/2014,,,,,38111,8029,1813,188,1634
02/01/2014,,,,,47334,14514,725,150,1347
03/01/2014,,,,,48831,13295,924,169,1151
04/01/2014,,,,,49814,14759,1954,519,2298
05/01/2014,,,,,24402,6923,918,185,1571
06/01/2014,,,,,56378,16369,651,269,2135
